Device Id,Title,Price Range,Storage,Storage Id,Storage Unit,Min Price,Max Price,Before Promo Price,Base Min Price,Variation Id,Color Title,Color Variation Id,Has Stock,Sku,Has Device Variation Stock,File Name
93002,Galaxy Z Fold3 5G,,256,1284,GO,1172,1865,0,,97719,Silver,97719,True,13549,True,M+.json
36149,iPhone 12,,64,567,GO,260,815,0,,95337,Black,95336,True,13295,True,M+.json
36149,iPhone 12,,64,567,GO,260,815,0,,95337,White,95337,True,13296,True,M+.json
36149,iPhone 12,,128,569,GO,305,869,0,,112249,Black,112249,True,13300,True,M+.json
36284,iPhone 12 Pro,,256,1284,GO,680,1299,0,,100785,Graphite,100783,True,13314,True,M+.json
36284,iPhone 12 Pro,,256,1284,GO,680,1299,0,,100785,Pacific Blue,100785,True,13317,True,M+.json
36284,iPhone 12 Pro,,512,1842,GO,886,1535,0,,95367,Graphite,100786,True,13318,True,M+.json
36284,iPhone 12 Pro,,512,1842,GO,886,1535,0,,95367,Silver,95367,True,13319,True,M+.json
42463,iPhone 12 Pro Max,,256,1284,GO,769,1405,0,,95417,Graphite,95417,True,13358,True,M+.json
78049,A74 5G,,128,569,GO,0,299,0,,95474,Black,95474,True,13500,True,M+.json
77995,Reno 4Z 5G,,128,569,GO,0,299,0,,95465,Black,95465,True,13495,True,M+.json
100412,4,,256,1284,GO,151,689,0,,112613,Grey,112613,True,13687,True,M+.json
104827,iPhone 11,,64,567,GO,64,589,0,,104826,Black,104826,False,13337,True,M+.json
104827,iPhone 11,,128,569,GO,108,645,0,,112252,Black,112252,True,13338,True,M+.json
108765,Galaxy S21 FE 5G,,128,569,GO,226,779,0,,108764,Graphite,108761,True,13698,True,M+.json
108765,Galaxy S21 FE 5G,,128,569,GO,226,779,0,,108764,White,108762,True,13699,True,M+.json
108765,Galaxy S21 FE 5G,,128,569,GO,226,779,0,,108764,Green,108763,True,13700,True,M+.json
108765,Galaxy S21 FE 5G,,128,569,GO,226,779,0,,108764,Purple,108764,False,13701,True,M+.json
