Device ID,Model,Subscription,Price Range,Storage,Storage ID,Storage Unit,Min Price,Max Price,Before Promo Price,Base Min Price,Variation ID,Color Title,Color Variation ID,Has Stock,Sku,Has Device Variation Stock
77977,Galaxy Xcover 5,watch,,64,567,GO,0,289,0,,95459,Black,95459,True,13454,True
78031,Mi 11 Lite 5G,watch,,128,569,GO,0,389,0,,95469,Green,95469,True,13558,True
91827,Galaxy A22 5G,watch,,128,569,GO,0,245,0,,95478,Black,95477,True,13531,True
91827,Galaxy A22 5G,watch,,128,569,GO,0,245,0,,95478,Purple,95478,True,13532,True
92939,P Smart 2021,watch,,128,569,GO,0,225,0,,95531,Black,95531,False,13565,False
93126,Galaxy A52 S 5G,watch,,128,569,GO,0,45,0,,95522,Green,95519,True,13561,True
93126,Galaxy A52 S 5G,watch,,128,569,GO,0,45,0,,95522,Purple,95520,True,13562,True
93126,Galaxy A52 S 5G,watch,,128,569,GO,0,45,0,,95522,Black,95521,True,13563,True
93126,Galaxy A52 S 5G,watch,,128,569,GO,0,45,0,,95522,White,95522,True,13564,True
93021,8050,watch,,16,563,GO,0,219,0,,97320,Graphite,97320,True,13560,True
96322,iPhone 13 mini,share,,128,569,GO,10,815,0,,96316,Midnight,96313,True,13643,True
96322,iPhone 13 mini,share,,128,569,GO,10,815,0,,96316,Starlight,96314,False,13644,True
96322,iPhone 13 mini,share,,128,569,GO,10,815,0,,96316,Blue,96316,False,13646,True
96322,iPhone 13 mini,share,,128,569,GO,10,815,0,,96316,Pink,98205,False,13649,True
96322,iPhone 13 mini,share,,256,1284,GO,118,939,0,,96320,Midnight,96313,True,13643,True
96322,iPhone 13 mini,share,,256,1284,GO,118,939,0,,96320,Starlight,96314,False,13644,True
96322,iPhone 13 mini,share,,256,1284,GO,118,939,0,,96320,Blue,96316,False,13646,True
96322,iPhone 13 mini,share,,256,1284,GO,118,939,0,,96320,Pink,98205,False,13649,True
96322,iPhone 13 mini,share,,512,1842,GO,323,1175,0,,96321,Midnight,96313,True,13643,True
96322,iPhone 13 mini,share,,512,1842,GO,323,1175,0,,96321,Starlight,96314,False,13644,True
96322,iPhone 13 mini,share,,512,1842,GO,323,1175,0,,96321,Blue,96316,False,13646,True
96322,iPhone 13 mini,share,,512,1842,GO,323,1175,0,,96321,Pink,98205,False,13649,True
96288,iPhone 13,share,,128,569,GO,99,919,0,,96281,Midnight,96277,True,13631,True
96288,iPhone 13,share,,128,569,GO,99,919,0,,96281,Starlight,96278,True,13632,True
96288,iPhone 13,share,,128,569,GO,99,919,0,,96281,Pink,107396,True,13633,True
96288,iPhone 13,share,,128,569,GO,99,919,0,,96281,Red,96280,True,13634,True
96288,iPhone 13,share,,128,569,GO,99,919,0,,96281,Blue,96281,True,13635,True
96288,iPhone 13,share,,256,1284,GO,207,1045,0,,96286,Midnight,96277,True,13631,True
96288,iPhone 13,share,,256,1284,GO,207,1045,0,,96286,Starlight,96278,True,13632,True
96288,iPhone 13,share,,256,1284,GO,207,1045,0,,96286,Pink,107396,True,13633,True
96288,iPhone 13,share,,256,1284,GO,207,1045,0,,96286,Red,96280,True,13634,True
96288,iPhone 13,share,,256,1284,GO,207,1045,0,,96286,Blue,96281,True,13635,True
96288,iPhone 13,share,,512,1842,GO,413,1279,0,,96287,Midnight,96277,True,13631,True
96288,iPhone 13,share,,512,1842,GO,413,1279,0,,96287,Starlight,96278,True,13632,True
96288,iPhone 13,share,,512,1842,GO,413,1279,0,,96287,Pink,107396,True,13633,True
96288,iPhone 13,share,,512,1842,GO,413,1279,0,,96287,Red,96280,True,13634,True
96288,iPhone 13,share,,512,1842,GO,413,1279,0,,96287,Blue,96281,True,13635,True
96354,iPhone 13 Pro,share,,128,569,GO,323,1175,0,,96346,Silver,96344,True,13653,True
96354,iPhone 13 Pro,share,,128,569,GO,323,1175,0,,96346,Graphite,96343,False,13652,True
96354,iPhone 13 Pro,share,,128,569,GO,323,1175,0,,96346,Gold,96345,True,13654,True
